uncertainty,type,aQGC,FakeLep,FakePho,Top,VV,VVV,VG
lumi_18,lnN,1.015,,1.015,1.015,1.015,1.015,1.015
lumi_fullrun2,lnN,1.02,,1.02,1.02,1.02,1.02,1.02
lumi_1718,lnN,1.002,,1.002,1.002,1.002,1.002,1.002
jesTotal_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
jer_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
fakerate_18,lnN,,auto_cal,,,,,
fakefraction_18,lnN,,,auto_cal,,,,
FakePho,lnN,,,1.3,,,,
FakeLep,lnN,,1.3,,,,,
HLT_method_sys,lnN,1.01,,,1.01,1.01,1.01,1.01
HLT_sta_18,lnN,1.002,,,1.002,1.002,1.002,1.002
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
pileup,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal,auto_cal
aQGC_stat_18,lnN,auto_cal,,,,,,
FakeLep_stat_18,lnN,,auto_cal,,,,,
FakePho_stat_18,lnN,,,auto_cal,,,,
Top_stat_18,lnN,,,,auto_cal,,,
VV_stat_18,lnN,,,,,auto_cal,,
VVV_stat_18,lnN,,,,,,auto_cal,
VG_stat_18,lnN,,,,,,,auto_cal
WZG_scale,lnN,auto_cal,,,,,,
WZG_pdf,lnN,auto_cal,,,,,,
WZG_PSWeight_isr,lnN,auto_cal,,,,,,
WZG_PSWeight_fsr,lnN,auto_cal,,,,,,
Top_scale,lnN,,,,auto_cal,,,
Top_pdf,lnN,,,,auto_cal,,,
Top_PSWeight_isr,lnN,,,,auto_cal,,,
Top_PSWeight_fsr,lnN,,,,auto_cal,,,
VV_scale,lnN,,,,,auto_cal,,
VV_pdf,lnN,,,,,auto_cal,,
VV_PSWeight_isr,lnN,,,,,auto_cal,,
VV_PSWeight_fsr,lnN,,,,,auto_cal,,
VVV_scale,lnN,,,,,,auto_cal,
VVV_pdf,lnN,,,,,,auto_cal,
VVV_PSWeight_isr,lnN,,,,,,auto_cal,
VVV_PSWeight_fsr,lnN,,,,,,auto_cal,
VG_scale,lnN,,,,,,,auto_cal
VG_pdf,lnN,,,,,,,auto_cal
VG_PSWeight_isr,lnN,,,,,,,auto_cal
VG_PSWeight_fsr,lnN,,,,,,,auto_cal
